Title,Year,Mileage/Km,Price,Brand
Subaru Forester 2.0i-L Sunroof,2015,111015,28998,Subaru
Honda Fit 1.3A GF,2019,65500,77800,Honda
Honda Vezel 1.5A G Honda Sensing,2021,16000,125800,Honda
Mercedes-Benz CLA-Class CLA180 Urban,2017,114000,80000,Mercedes-Benz
Kia Sorento 2.4A GDi Sunroof,2015,124000,48888,Kia
BMW 3 Series 323i Convertible (COE till 08/2028),2008,118113,67500,BMW
MINI One 1.5A 5DR Piccadilly Edition,2020,39000,122800,MINI
Mazda 2 1.5A,2016,80997,40500,Mazda
Renault Grand Scenic Diesel 1.5A dCi BOSE Edition Sunroof,2019,50088,110800,Renault
Mercedes-Benz CLA-Class CLA180,2015,139880,37500,Mercedes-Benz
Citroen C4 1.2A PureTech,2016,90000,37888,Citroen
Mazda 6 2.0A Executive,2016,88192,46800,Mazda
Toyota Alphard 2.4A (COE till 02/2030),2010,130352,98800,Toyota
Mercedes-Benz GLB-Class GLB35 AMG 4MATIC 7-Seater,2021,32555,269888,Mercedes-Benz
BMW 3 Series 320i (COE till 12/2028),2008,147000,64800,BMW
BMW 5 Series 535i M-Sport Sunroof (COE till 10/2031),2011,97153,129800,BMW
Mazda Biante 2.0A,2017,88093,67800,Mazda
Mitsubishi Lancer 1.6A (COE till 04/2028),2008,164000,47800,Mitsubishi
Mercedes-Benz E-Class E250 (COE till 04/2031),2012,145000,98800,Mercedes-Benz
Toyota Corolla Altis 1.6A Elegance,2016,134000,43800,Toyota
Kia Cerato 1.6A EX,2019,45000,85500,Kia
Nissan Navara NP300 Double-Cab 2.3A,2017,51000,73800,Nissan
Honda Fit 1.3A GF,2019,68197,75588,Honda
Toyota Voxy Hybrid 1.8A X,2020,25000,158500,Toyota
Porsche Boxster 2.7A PDK (COE till 07/2032),2012,65980,223800,Porsche
Honda Vezel 1.5A X,2016,122000,49800,Honda
BMW X1 sDrive20i M-Sport,2020,73000,155800,BMW
Toyota C-HR Hybrid 1.8A S,2019,45000,98800,Toyota
